"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Frajt T.; Frajtova Michalikova K.; Balica R.-Ș.","Frajt, Tomas (58785797900); Frajtova Michalikova, Katarina (57211585300); Balica, Raluca-Ștefania (57198425782)","58785797900; 57211585300; 57198425782","Productivity Software Tools, Wearable Augmented Reality Devices, and Generative Artificial Intelligence and Immersive Remote Collaboration Systems in Virtually Simulated Workspace Environments","2023","Contemporary Readings in Law and Social Justice","15","2","","179","197","18","1","10.22381/CRLSJ152202310","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180872028&doi=10.22381%2fCRLSJ152202310&partnerID=40&md5=2e94ebc2f7d49a6f2effe1a4d717c5dc","This paper provides a systematic literature review of studies investigating generative artificial intelligence and immersive remote collaboration systems articulating governance decision-making processes, skilled labor attracting and training, and remote work collaboration. The analysis highlights that generative artificial intelligence and virtual reality immersive training tools can further business process performance, employee attraction and well-being, and extensive retraining programs in virtual work settings. Throughout May 2023, we performed a quantitative literature review of the Web of Science, Scopus, and ProQuest databases, with search terms including “virtually simulated workspace environments” + “productivity software tools,” “wearable augmented reality devices,” and “generative artificial intelligence and immersive remote collaboration systems.” As we inspected research published in 2023, only 172 articles satisfied the eligibility criteria, and 53 mainly empirical sources were selected. Data visualization tools: Dimensions (biblio-metric mapping) and VOSviewer (layout algorithms). Reporting quality assessment tool: PRISMA. Methodological quality assessment tools include: AMSTAR, Distiller SR, MMAT, and ROBIS. © 2023, Addleton Academic Publishers. All rights reserved.","generative artificial intelligence; immersive remote collaboration system; productivity software tool; virtually simulated workspace environment; wearable augmented reality device","","Article","Final","","Scopus","2-s2.0-85180872028"
"Marinković A.R.","Marinković, Ana Rački (55835735000)","55835735000","Liability for AI-related IP infringements in the European Union","2024","Journal of Intellectual Property Law and Practice","19","10","","784","792","8","0","10.1093/jiplp/jpae061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204356009&doi=10.1093%2fjiplp%2fjpae061&partnerID=40&md5=152a5e3b66926c21b790e89d83cb8f98","• As Artificial Intelligence (AI) technology develops and more AI systems are put on the market, concern about the implications of such AI systems on humans is growing. A particular area of concern is the impact of AI systems on intellectual property rights (IPRs) as infringement might occur in relation to the use of AI systems. IPR infringements can be committed by training an AI system, as well as by using or when operating an AI system. This raises the question of liability for such IPR infringements. • This research covers situations where IPR infringements are committed by training an AI system, as well as those where infringements are committed by using or operating an AI system. One hypothetical situation of an AI system created solely for the purpose of infringing IPRs is investigated, but also includes situations where otherwise legitimate AI systems are misused in criminal activities as tools for the production and sale of infringing goods. These areas are analysed in relation to the proposed AI Liability Directive and other relevant European Union legislation to identify what rules would be applicable to liability for damage in such cases. The research also considers the recently enacted AI Act. In instances where the damage is caused by AI-enabled products and services, the study shows how the ‘rebuttable presumption of causality’ provided for under the AI Liability Directive could be applied. © The Author(s) 2024. Published by Oxford University Press. All rights reserved.","","","Article","Final","","Scopus","2-s2.0-85204356009"
"Ranade N.; Eyman D.","Ranade, Nupoor (57211660495); Eyman, Douglas (24605304300)","57211660495; 24605304300","Introduction: Composing with generative AI","2024","Computers and Composition","71","","102834","","","","9","10.1016/j.compcom.2024.102834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184062563&doi=10.1016%2fj.compcom.2024.102834&partnerID=40&md5=5a8e8747f89fd7baa1b8282eadb7a054","[No abstract available]","","","Editorial","Final","","Scopus","2-s2.0-85184062563"
"Ghalia N.; Isami E.; Bsoul M.; Aabed S.; Haeb R.S.; Mustafa M.","Ghalia, Nadia (58453719500); Isami, Eyal (59443263900); Bsoul, Miriam (58809304500); Aabed, Saierah. (58809496200); Haeb, Rema Salh (59170942700); Mustafa, Mawaheb (59441662300)","58453719500; 59443263900; 58809304500; 58809496200; 59170942700; 59441662300","Impact of Artificial Intelligence in Education: Insights from Students and Faculty Members at Yarmouk University","2024","Journal of Ecohumanism","3","8","","1278","1289","11","0","10.62754/joe.v3i8.4807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210450615&doi=10.62754%2fjoe.v3i8.4807&partnerID=40&md5=73435f8b77982319bb45384acd75e310","The landscape of education is undergoing a gradual transformation due to Artificial Intelligence (AI), which is revolutionizing learning and teaching methods. Using Yarmouk University Aras a case study, this study investigates perceptions and impacts of AI within educational contexts. Students and faculty members from a variety of backgrounds participated in the cross-sectional survey. A survey focused on familiarity, perceived advantages, and potential challenges associated with AI in education was administrated to a sample of (387) students and (23) faculty members.According to the results, attitudes and awareness levels regarding artificial intelligence differed significantly between the groups surveyed. In particular, 66.7% of students appreciated AI's ability to enhance lessons and foster personalized learning experiences. Faculty members, however, expressed more caution, with 50% of them expressing concerns about the dehumanization of education and security issues related to student data while recognizing the positive impact. © 2024, Creative Publishing House. All rights reserved.","Academia; Artificial Intelligence; Education; Yarmouk University","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85210450615"
"Perera K.G.D.K.; Wijayanayake J.; Prasadika J.","Perera, K.G.D.K. (59030874300); Wijayanayake, J. (6507962345); Prasadika, J. (59032220700)","59030874300; 6507962345; 59032220700","Factors Affecting the Effectiveness of Generative Artificial Intelligence Apps on University Students' Programming Language Learning in Sri Lanka: A Systematic Literature Review","2024","ICARC 2024 - 4th International Conference on Advanced Research in Computing: Smart and Innovative Trends in Next Generation Computing Technologies","","","","276","281","5","1","10.1109/ICARC61713.2024.10499744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192212984&doi=10.1109%2fICARC61713.2024.10499744&partnerID=40&md5=6faadcd0a13fdd11215f51a7c6dbc612","In today's era, technology has become pervasive worldwide, significantly facilitating access to learning resources. Notably, the emergence of Generative Artificial Intelligence (AI) has garnered rapid attention and interest in a short period with the introduction of ChatGPT. Many individuals have extensively discussed and evaluated this AI-powered language model, from researchers to casual internet users. Importantly, Generative AI applications are increasingly recognized for their potential in educational contexts. In the realm of education, AI has the potential to significantly broaden and improve teaching and learning in higher education. However, while numerous studies have explored the effectiveness of Generative AI applications in programming language learning, an absence of research examining their impact comprehensively exists. Hence, this study aims to identify the factors that affect the successful utilization of Generative AI applications in the context of undergraduate programming language learning, with a particular emphasis on the viewpoints of university students. A systematic literature review was undertaken to obtain the research objectives, adhering to the Prisma 2020 guidelines, which involved selecting and analyzing 47 prior studies. Mainly this study utilized a systematic literature review to comprehend the factors influencing the effective utilization of Generative AI apps by undergraduate students in their programming learning experiences. Furthermore, the study discusses the advantages and challenges university students face when learning programming using generative AI applications.  © 2024 IEEE.","Generative AI Apps; Learning; Programming Language Learning; Technologies","Ada (programming language); Artificial intelligence; Education computing; Era technologies; Generative artificial intelligence app; Language learning; Learning; Learning resource; Programming language learning; Sri Lanka; Systematic literature review; Technology; University students; Students","Conference paper","Final","","Scopus","2-s2.0-85192212984"
"Chen S.; Liu Q.; He B.","Chen, Shengnan (58141615000); Liu, Qifang (58876610300); He, Bin (55849962400)","58141615000; 58876610300; 55849962400","A Generative AI-based Teaching Material System Using a Human-In-The-Loop Model","2023","2023 International Conference on Intelligent Education and Intelligent Research, IEIR 2023","","","","","","","0","10.1109/IEIR59294.2023.10391244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184659801&doi=10.1109%2fIEIR59294.2023.10391244&partnerID=40&md5=106fa831a1dc07746294a37dbe040e35","Teaching materials are crucial for improving the efficiency of teaching and learning. However, traditional tools for creating teaching materials are mutually independent and lack sufficient intelligence, resulting in low efficiency and limited adaptability. This paper presents a generative artificial intelligence(GAI)-based teaching material system(TMGS) to create materials for both teachers and students in a human-in-the-loop model. The TMGS comprises three modules: pre-class material generation, in-class material generation, and post-class material generation. The pre-class module assists teachers in creating well-structured teaching plans, while the in-class module provides valuable resources for both teachers and students during lessons. The post-class module focuses on delivering personalized assignments to students. Throughout all stages, teachers play a critical role in reviewing the generated materials. To evaluate the system's performance, we conducted materials generation on the topic of 'inverse proportion' in primary school mathematics by utilizing large language models like GPT-4. The experiments demonstrate that the system exhibits excellent comprehensiveness, efficiency, and adaptability.  © 2023 IEEE.","generative artificial intelligence; human-in-the-loop model; large language models; teaching material generation","Artificial intelligence; Computational linguistics; Efficiency; Generative artificial intelligence; Human-in-the-loop; Human-in-the-loop model; Language model; Large language model; Loop models; Material systems; Teachers'; Teaching material generations; Teaching materials; Students","Conference paper","Final","","Scopus","2-s2.0-85184659801"
"Tan B.S.; Ong S.H.; Andrew K.H.T.; Wong T.L.; Bai P.S.; Rao A.P.","Tan, Bee Sian (58908987500); Ong, Shen Hoi (59380620800); Andrew, Khin Huat Tan (59380927800); Wong, Thein Lai (57440950200); Bai, P Sharimila (59380316000); Rao, AP Pandurenga (59380777200)","58908987500; 59380620800; 59380927800; 57440950200; 59380316000; 59380777200","Usability Study of GenAI for English Learning in VR","2024","Pakistan Journal of Life and Social Sciences","22","2","","7367","7382","15","0","10.57239/PJLSS-2024-22.2.00556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207260177&doi=10.57239%2fPJLSS-2024-22.2.00556&partnerID=40&md5=22c640bcbf6a9c19da4eb3c263bc5617","Traditional English learning environments in university often hindered by outdated focus on reading and writing, limited textbook content, insufficient speaking practice opportunities, and pre-programmed artificial intelligence (AI) in English speaking practice. This study explores the potential of leveraging VR technologies and generative AI (GenAI) to overcome these barriers. EasyEnglish is a real-time conversation game with GenAI non-player character (NPC)s. This game utilizes voice input recognition, large language model (LLM) for language assessment and text-to-speech (TTS) for NPC lip-sync animation. The content validity was assessed by 3 experts to evaluate the conversation quality. A usability test was conducted using a purposive sampling method with 7 undergraduate non-native English speakers who have less than 1 year experience in using VR technology. This study employed System Usability Scale (SUS) and Content Validity Index (CVI) metrics for assessment. The CVI result showed satisfactory agreement in conversation quality but highlighted areas for improvement in learning objectives. The SUS result revealed satisfaction in consistency of user interface (UI) and learnability of EasyEnglish, while also highlighting the need for improvement in UI, setup, and visual cues. The significance of the study lies in the GenAI's ability to provide diverse response, avoid repetitive dialogue and speak using gestures to undergraduate students. GenAI effectively identify and assess irrelevant words in conversation, provide immediate grammar and vocabulary correction and suggestion of conversation improvement accurately. Future research should focus on improving accessibility, include more multimodal interactions, and mapping learning objectives with the soft skills emphasized by the World Economic Forum (WEF). © (2024), (Elite Scientific Publications). All rights reserved.","Education; Educational Technology; English Language; Generative Artificial Intelligence; Virtual Reality","","Article","Final","","Scopus","2-s2.0-85207260177"
"Saleem N.; Mufti T.; Sohail S.S.; Madsen D.Ø.","Saleem, Nudrat (58959956100); Mufti, Tabish (57218498216); Sohail, Shahab Saquib (7003589052); Madsen, Dag Øivind (56038779700)","58959956100; 57218498216; 7003589052; 56038779700","ChatGPT as an innovative heutagogical tool in medical education","2024","Cogent Education","11","1","2332850","","","","4","10.1080/2331186X.2024.2332850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188883846&doi=10.1080%2f2331186X.2024.2332850&partnerID=40&md5=3cd01f939f0fe25bdaaadd4ac22e4d3c","In this study, we aim to investigate the potential advantages of integrating the new generative artificial intelligence (AI) technology, ChatGPT, into higher education, specifically within the field of medical education. The focus is on exploring ChatGPT’s applications in personalized learning, assessment, and content creation while also addressing the management of its limitations and ethical considerations. Furthermore, we explore the use of ChatGPT as a medical instructor in a medical classroom context. We seek to elucidate responses to a preset of questions in two categories separated based on targeted remediation, pedagogical knowledge, teacher ethics, query detail, practicality, and communication pattern. These responses are analyzed based on two rubrics designed on the basics of pedagogical prerequisites, and findings are reached with a thorough comparative analysis. We hope that this research will improve the effective implementation of ChatGPT as a tool for enhancing learning and skill development while maintaining ethical awareness for medical professionals. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Artificial Intelligence; ChatGPT; E-learning; heutagogical tool; heutagogy; higher education; learning; medical education; Medicine; Open & Distance Education and eLearning; Shuyan Wang, The University of Southern Mississippi, United States","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85188883846"
"Shi J.; Wang G.; Wang Y.","Shi, Jincheng (58663423200); Wang, Guoyu (56146563300); Wang, Yingchun (57913576200)","58663423200; 56146563300; 57913576200","Artificial intelligence foundation model risk identification and governance model from the ESG perspective; [ESG 视角下人工智能大模型风险识别与治理模型]","2024","Bulletin of Chinese Academy of Sciences","39","11","","1845","1859","14","0","10.16418/j.issn.1000-3045.20240415001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213806516&doi=10.16418%2fj.issn.1000-3045.20240415001&partnerID=40&md5=e9a57773a7d7561fdec1a98a46d9796d","The application ecology of artificial intelligence foundation model is rapidly expanding. The environment, society, and governance are facing new challenges and opportunities. Exploring the construction of a governance framework for the development risks of foundation model has important theoretical value and practical significance for promoting the healthy and sustainable development of artificial intelligence. Based on the theories of ESG and artificial intelligence governance, this study analyzes the development benefits and typical risks of foundation model from the perspective of ESG and then constructs a risk governance framework and implementation strategies for artificial intelligence foundation models. This study shows that a dual approach of technological governance and institutional innovation is necessary to address the development risks of foundation models. Following the logic of “entry perspective → risk identification → governance mechanism → governance strategy”, the study exploringly proposes the risk governance framework of foundation model. Based on the impact cycle and scope of the foundation model risk, this study proposes four differentiated governance strategies, including “release, control, pilot, and iteration”. © 2024 Science Press. All rights reserved.","artificial intelligence; ESG; foundation model; governance strategy; risk analysis","","Article","Final","","Scopus","2-s2.0-85213806516"
"Kurtz G.; Amzalag M.; Shaked N.; Zaguri Y.; Kohen-Vacs D.; Gal E.; Zailer G.; Barak-Medina E.","Kurtz, Gila (6701527035); Amzalag, Meital (57200069435); Shaked, Nava (57200596911); Zaguri, Yanay (57217849252); Kohen-Vacs, Dan (35728847700); Gal, Eran (56740454400); Zailer, Gideon (59145623100); Barak-Medina, Eran (59145078700)","6701527035; 57200069435; 57200596911; 57217849252; 35728847700; 56740454400; 59145623100; 59145078700","Strategies for Integrating Generative AI into Higher Education: Navigating Challenges and Leveraging Opportunities","2024","Education Sciences","14","5","503","","","","15","10.3390/educsci14050503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194264772&doi=10.3390%2feducsci14050503&partnerID=40&md5=d1a89701300087bcebe04236b4495fb0","The recent emergence of generative AI (GenAI) tools such as ChatGPT, Midjourney, and Gemini have introduced revolutionary capabilities that are predicted to transform numerous facets of society fundamentally. In higher education (HE), the advent of GenAI presents a pivotal moment that may profoundly alter learning and teaching practices in aspects such as inaccuracy, bias, overreliance on technology and algorithms, and limited access to educational AI resources that require in-depth investigation. To evaluate the implications of adopting GenAI in HE, a team of academics and field experts have co-authored this paper, which analyzes the potential for the responsible integration of GenAI into HE and provides recommendations about this integration. This paper recommends strategies for integrating GenAI into HE to create the following positive outcomes: raise awareness about disruptive change, train faculty, change teaching and assessment practices, partner with students, impart AI learning literacies, bridge the digital divide, and conduct applied research. Finally, we propose four preliminary scale levels of a GenAI adoption for faculty. At each level, we suggest courses of action to facilitate progress to the next stage in the adoption of GenAI. This study offers a valuable set of recommendations to decision-makers and faculty, enabling them to prepare for the responsible and judicious integration of GenAI into HE. © 2024 by the authors.","academic teaching; Generative AI; generative AI (GenAI); higher education (HE)","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85194264772"
"Salama R.","Salama, Reda (56511506800)","56511506800","Integrating spotted hyena optimization technique with generative artificial intelligence for time series forecasting","2025","Expert Systems","42","2","e13681","","","","0","10.1111/exsy.13681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200054642&doi=10.1111%2fexsy.13681&partnerID=40&md5=1d86d2c56b51ded1412294691ea58eff","Generative artificial intelligence (AI) has developed as an effective tool for time series predicting, revolutionizing the typical methods of prediction. Different classical approaches that depend on existing approaches and assumptions, generative AI controls advanced deep learning (DL) approaches like generative adversarial networks (GANs) and recurrent neural networks (RNNs), to identify designs and connections in time series data. DL has accomplished major success in optimizing performances connected with AI. In the financial area, it can be extremely utilized for the stock market predictive, trade implementation approaches, and set of optimizers. Stock market predictive is the most important use case in this field. GANs with advanced AI approaches have become more significant in recent times. However, it can be utilized in image-image-translation and other computer vision (CV) conditions. GANs could not utilized greatly for stock market prediction because of their effort to establish the proper set of hyperparameters. This study develops an integrated spotted hyena optimization algorithm with generative artificial intelligence for time series forecasting (SHOAGAI-TSF) technique. The purpose of the SHOAGAI-TSF technique is to accomplish a forecasting process for the utilization of stock price prediction. The SHOAGAI-TSF technique uses probabilistic forecasting with a conditional GAN (CGAN) approach for the prediction of stock prices. The CGAN model learns the data generation distribution and determines the probabilistic prediction from it. To boost the prediction results of the CGAN approach, the hyperparameter tuning can be performed by the use of the SHOA. The simulation result analysis of the SHOAGAI-TSF technique takes place on the stock market dataset. The experimental outcomes determine the significant solution of the SHOAGAI-TSF algorithm with other compared methods in terms of distinct metrics. © 2024 John Wiley & Sons Ltd.","artificial intelligence; generative adversarial network; spotted hyena optimization; stock market prediction; time series forecasting","Commerce; Electronic trading; Financial markets; Forecasting; Probability distributions; Recurrent neural networks; Time series; Effective tool; Forecasting techniques; Hyper-parameter; Optimisations; Optimization algorithms; Optimization techniques; Spotted hyena optimization; Stock market prediction; Time series forecasting; Times series; Generative adversarial networks","Article","Final","","Scopus","2-s2.0-85200054642"
"Kromidha E.; Davison R.M.","Kromidha, Endrit (55330558100); Davison, Robert M. (7101819462)","55330558100; 7101819462","Generative AI-Augmented Decision-Making for Business Information Systems","2024","IFIP Advances in Information and Communication Technology","719","","","46","55","9","0","10.1007/978-3-031-67535-5_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200943292&doi=10.1007%2f978-3-031-67535-5_5&partnerID=40&md5=4c819d49c3ad7348e4c04014049894f1","The integration of Generative Artificial Intelligence (GAI) in decision-making has ushered in a new era of opportunities and challenges for organizations. However, due to the way GAI algorithms work, the propagation of social biases and the lack of transparency on how they use data raises concerns about the autonomy and control of human decision-making powered by such systems. In this experimental research paper, we contrast the answers that ChatGPT, a popular GAI tool, can give us in the context of decision-making with what we know about such processes from the management and business information systems literature. Our findings suggest that GAI can facilitate the organization of information and options for making decisions. However, without a moral and ethical stance, the responsibility for the decisions remains with the human actor. Suggesting a collaborative approach between humans and GAI, we reflect on the changes to learning and adaptation patterns that need to happen on both sides to reform the way we make GAI-augmented decisions. © IFIP International Federation for Information Processing 2024.","Business Information Systems; ChatGPT; Decision-Making; Generative Artificial Intelligence (GAI)","Artificial intelligence; Information management; Information systems; Information use; Artificial intelligence algorithms; Artificial intelligence tools; Business information systems; ChatGPT; Decisions makings; Experimental research; Generative artificial intelligence; Human decision-making; Management information; Research papers; Decision making","Conference paper","Final","","Scopus","2-s2.0-85200943292"
"Johri A.; Lindsay E.; Qadir J.","Johri, A. (25655003800); Lindsay, E. (9734100900); Qadir, J. (15058218600)","25655003800; 9734100900; 15058218600","ETHICAL CONCERNS AND RESPONSIBLE USE OF GENERATIVE ARTIFICIAL INTELLIGENCE IN ENGINEERING EDUCATION","2023","SEFI 2023 - 51st Annual Conference of the European Society for Engineering Education: Engineering Education for Sustainability, Proceedings","","","","2244","2253","9","3","10.21427/0T6R-FZ62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179844340&doi=10.21427%2f0T6R-FZ62&partnerID=40&md5=c297791abf118c8aaa113fff253b2ddc","The use of educational technologies that use elements of machine learning (ML) and artificial intelligence (AI) are becoming common across the engineering education terrain. With the wide adoption of generative AI based applications, this trend is only going to grow. Not only is the use of these technologies going to impact teaching, but engineering education research practices are as likely to be affected as well. From data generation and analysis, to writing and presentation, all aspects of research will potentially be shaped. In this practice paper we discuss the ethical implications of the use of generative AI technologies on engineering teaching and engineering education research. We present a discussion of potential and futuristic concerns raised by the use of these technologies. We bring to the fore larger organizational and institutional issues and the need for a framework for responsible use of technology within engineering education. Finally, we engage with the current literature and popular writing on the topic to build an understanding of the issues with the potential to apply them in teaching and research practices. © 2023 SEFI 2023 - 51st Annual Conference of the European Society for Engineering Education: Engineering Education for Sustainability, Proceedings. All Rights Reserved.","Generative AI; Responsible use; Technology ethics","Artificial intelligence; Ethical technology; Sustainable development; Teaching; Artificial intelligence technologies; Data generation; Engineering education research; Engineering teachings; Ethical concerns; Ethical implications; Generative artificial intelligence; Machine-learning; Responsible use; Technology ethic; Engineering education","Conference paper","Final","","Scopus","2-s2.0-85179844340"
"Ayoub N.F.; Lee Y.-J.; Grimm D.; Divi V.","Ayoub, Noel F. (57190217852); Lee, Yu-Jin (57201585891); Grimm, David (57200935689); Divi, Vasu (6508276555)","57190217852; 57201585891; 57200935689; 6508276555","Head-to-Head Comparison of ChatGPT Versus Google Search for Medical Knowledge Acquisition","2024","Otolaryngology - Head and Neck Surgery (United States)","170","6","","1484","1491","7","42","10.1002/ohn.465","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166664040&doi=10.1002%2fohn.465&partnerID=40&md5=09f98ec4fbf1ba4afbdb6db63345adbe","Objective: Chat Generative Pretrained Transformer (ChatGPT) is the newest iteration of OpenAI's generative artificial intelligence (AI) with the potential to influence many facets of life, including health care. This study sought to assess ChatGPT's capabilities as a source of medical knowledge, using Google Search as a comparison. Study Design: Cross-sectional analysis. Setting: Online using ChatGPT, Google Seach, and Clinical Practice Guidelines (CPG). Methods: CPG Plain Language Summaries for 6 conditions were obtained. Questions relevant to specific conditions were developed and input into ChatGPT and Google Search. All questions were written from the patient perspective and sought (1) general medical knowledge or (2) medical recommendations, with varying levels of acuity (urgent or emergent vs routine clinical scenarios). Two blinded reviewers scored all passages and compared results from ChatGPT and Google Search, using the Patient Education Material Assessment Tool (PEMAT-P) as the primary outcome. Additional customized questions were developed that assessed the medical content of the passages. Results: The overall average PEMAT-P score for medical advice was 68.2% (standard deviation [SD]: 4.4) for ChatGPT and 89.4% (SD: 5.9) for Google Search (p <.001). There was a statistically significant difference in the PEMAT-P score by source (p <.001) but not by urgency of the clinical situation (p =.613). ChatGPT scored significantly higher than Google Search (87% vs 78%, p =.012) for patient education questions. Conclusion: ChatGPT fared better than Google Search when offering general medical knowledge, but it scored worse when providing medical recommendations. Health care providers should strive to understand the potential benefits and ramifications of generative AI to guide patients appropriately. © 2023 American Academy of Otolaryngology–Head and Neck Surgery Foundation.","artificial intelligence; ChatGPT; generative artificial intelligence; health literacy; large language models; online search engines; patient education","Artificial Intelligence; Cross-Sectional Studies; Humans; Internet; Search Engine; adult; article; artificial intelligence; case report; clinical article; cross-sectional study; female; health care personnel; health literacy; human; language; learning; male; outcome assessment; patient education; practice guideline; search engine; artificial intelligence; comparative study; Internet","Article","Final","","Scopus","2-s2.0-85166664040"
"Peña-Fernández S.; Peña-Alonso U.; Eizmendi-Iraola M.","Peña-Fernández, Simón (55580980400); Peña-Alonso, Urko (58764553000); Eizmendi-Iraola, Maider (58076940700)","55580980400; 58764553000; 58076940700","The discourse of journalists on the impact of generative artificial intelligence on disinformation; [El discurso de los periodistas sobre el impacto de la inteligencia artificial generativa en la desinformación1]","2023","Estudios Sobre el Mensaje Periodistico","29","4","","833","841","8","1","10.5209/esmp.88673","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179832516&doi=10.5209%2fesmp.88673&partnerID=40&md5=09aba06a353c4c90e0742b7af25eda79","Generative artificial intelligence has broken into the course of the digital transformation of the media as a technological tool of a dual nature, offering new possibilities to combat disinformation, but also to generate it. This research analyzes the opinion of 118 information professionals on the impact of AI, particularly with regard to misinformation, based on 778 messages published on Twitter. The results indicate that Spanish journalists express a mostly cautious opinion that flees from technocentric positions and in which concern about the way in which AI can affect citizens prevails. The main perceived dangers are the increase in information disorders and misinformation, bias in the results obtained, the inaccuracy of the content, the ease of committing fraud or developing deepfakes, or their potential use for malicious purposes. © 2023 Universidad Complutense de Madrid. All rights reserved.","AI; disinformation; generative artificial intelligence; journalists; media","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85179832516"
"Rafi M.; Aitken J.M.; Fatah T.D.; Mailangkay A.","Rafi, Muhammad (35275709800); Aitken, James Malik (59390580500); Fatah, Tsabit Danendra (57844551400); Mailangkay, Adele (57213155646)","35275709800; 59390580500; 57844551400; 57213155646","Analyzing The Impact of Generative AI on IT Employee Performance","2024","2024 3rd International Conference on Creative Communication and Innovative Technology, ICCIT 2024","","","","","","","0","10.1109/ICCIT62134.2024.10701171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207848477&doi=10.1109%2fICCIT62134.2024.10701171&partnerID=40&md5=6932c71ecff2e39cf713787d213cf95a","In the current digital era, the use of generative artificial intelligence (AI), particularly ChatGPT, has become a focal point in enhancing efficiency and innovation in the workplace. This research examines the effects of using ChatGPT on employee performance within the IT sector, utilizing the Technology Acceptance Model (TAM) as the analytical framework. The methodology includes a quantitative survey distributed to IT workers across various companies, followed by statistical analysis to measure perceptions of usefulness, ease of use, trust, behavioral intention, and the actual impact on employee performance. The results indicate that perceptions of usefulness, ease of use, and trust significantly influence employees' attitudes towards this technology, enhancing their work performance. Key findings reveal that technical support and training are crucial factors for accepting and integrating ChatGPT into workflows. The novelty of this study lies in its application of the TAM framework to assess the impact of generative AI on employee performance in the IT sector. This research provides new insights into how ChatGPT can be utilized to enhance performance, offering guidance for practitioners and policymakers on maximizing the potential of this technology. The study emphasizes the importance of understanding technology acceptance factors to effectively implement generative AI solutions, thereby enhancing productivity and innovation in the workplace. © 2024 IEEE.","ChatGPT; Employee Performance; Generative AI; Technology Acceptance Model (TAM)","Personnel rating; 'current; ChatGPT; Digital era; Ease-of-use; Employee performance; Focal points; Generative artificial intelligence; IT workers; Technology acceptance model; Generative adversarial networks","Conference paper","Final","","Scopus","2-s2.0-85207848477"
"Sundari M.S.; Penthala H.R.; Nayyar A.","Sundari, M. Shanmuga (57443320100); Penthala, Harshini Reddy (58890519600); Nayyar, Anand (55201442200)","57443320100; 58890519600; 55201442200","Transforming education through AI-enhanced content creation and personalized learning experiences","2024","Impact of Artificial Intelligence on Society","","","","98","118","20","0","10.1201/9781032644509-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202865899&doi=10.1201%2f9781032644509-7&partnerID=40&md5=44953689e9ab213f7476a477508eead4","[No abstract available]","","","Book chapter","Final","","Scopus","2-s2.0-85202865899"
"Fields Z.","Fields, Ziska (56366831400)","56366831400","The interplay between creativity, thinking styles, higher education, and generative AI","2024","Impacts of Generative AI on Creativity in Higher Education","","","","331","372","41","0","10.4018/979-8-3693-2418-9.ch013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207550714&doi=10.4018%2f979-8-3693-2418-9.ch013&partnerID=40&md5=b0699c71da5892e8d787f05ec31fdd2a","The use of artificial intelligence and especially Generative AI technology is creating radical change in education. This technology can impact studentss creativity, their cognition, preferred thinking styles, and higher order thinking skills. This chapter's main objective is to explore the link betweem creativity, thinking styles and skills, higher education, and GAI. The research question was explored using literature that was screened non-systematically using Google Scholar, EBSCO, and omni-linked databases for articles published between 2019 and 2024 due to the fact that it is a rapidly emerging field of study. It was found that there is an interplay between creativity, thinking styles, education, and GAI. GAI is reshaping our understanding of education and its impact on creativity and thinking styles. It is forcing humans to reconsider and review current and traditional teaching and learning pedagogies. © 2024, IGI Global. All rights reserved.","","","Book chapter","Final","","Scopus","2-s2.0-85207550714"
