"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Impact of Artificial Intelligence and Blockchain on the Accounting Profession","Y. Zhang; F. Xiong; Y. Xie; X. Fan; H. Gu","Department of Business Administration, Glorious Sun School of Business and Management, Donghua University, Shanghai, China; Center for Accounting Studies, School of Management, Xiamen University, Xiamen, China; School of Management, Xiamen University, Xiamen, China; Shenzhen Shishang Technology (Poemcoder) Ltd., Shenzhen, China; Department of Business Administration, Glorious Sun School of Business and Management, Donghua University, Shanghai, China",IEEE Access,"22 Jun 2020","2020","8","","110461","110477","Recent developments in technology have introduced dramatic changes to the practice of the accounting profession. This paper provides a comprehensive review of current developments in big data, machine learning, artificial intelligence, and blockchain utilized in general business practice and by specialized practitioners in the accounting profession worldwide. This paper explores the evolution of the accounting profession following these recent technological developments and assesses the impact of future developments. Inherent challenges and opportunities posed by these new technologies pertaining to accounting professionals and accounting educators are also examined, including an increased demand for IT professionals with accounting experience as opposed to accounting major graduates. Considering the dramatic changes and developments of AI applications in accounting, this paper reflects how all these technologies and the associated requirements of job candidates will affect the desired capabilities of accounting graduates and provides further discussion regarding what higher institutions and their accounting graduates can do to adopt such changes.","2169-3536","","10.1109/ACCESS.2020.3000505","National Natural Science Foundation of China(grant numbers:71790602,71702160); Chinese Ministry of Education(grant numbers:16JJD790034); Chinese Fundamental Research Funds for Central Universities(grant numbers:20720201020,20720201011); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9110603","Accounting profession;artificial intelligence;big data;blockchain;machine learning","Big Data;Blockchain;Machine learning;Finance","","118","","108","CCBY","8 Jun 2020","","","IEEE","IEEE Journals"
"A Study on the Teaching Design of Research on the Teaching Design of Foreign Language Classroom in Colleges and Universities in the Era of Artificial Intelligence","Yucong","Department of Japanese, School of Foreign Languages, Dalian Neusoft Institute of Information, Dalian, Liaoning, China","2021 International Conference on Internet, Education and Information Technology (IEIT)","7 Sep 2021","2021","","","362","366","In recent years, with the rapid development of social economy, science and technology have also made great progress. Artificial intelligence and other advanced technologies continue to flow out, and has been widely used in various fields of society. Its application in the field of education compared with the traditional teaching methods have a more significant positive impact. We should make full use of artificial intelligence technology in the field of teaching to give full play to its role and promote the development and reform of education. Basically, we serve people through computing and data. Therefore, according to the teaching design of foreign language classroom in colleges and universities, the new requirements of ideological and political education in China, combined with the results of the blended teaching reform in our school, and taking the main course of Japanese Audio-Visual and Oral (3) as an example, this paper points out that teachers should strengthen their self-cultivation and explore the elements of content education. From the aspect of curriculum standard, we should refine the curriculum and perfect the evaluation standard. It is necessary to establish the resource base of artificial intelligence autonomous learning, explore the instructional design of strengthening the consciousness of autonomous learning, and integrate the ideological and political education ideas with the elements of artificial intelligence education in classroom instructional design.","","978-1-6654-2563-6","10.1109/IEIT53597.2021.00086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9525989","ideological and political education;Artificial intelligence;The teaching design","Tongue;Education;Learning (artificial intelligence);Internet;Information technology;Standards","","","","5","IEEE","7 Sep 2021","","","IEEE","IEEE Conferences"
"On the Integration of Artificial Intelligence and Blockchain Technology: A Perspective About Security","O. Kuznetsov; P. Sernani; L. Romeo; E. Frontoni; A. Mancini","Department of Information and Communication Systems Security, Faculty of Computer Science, V. N. Karazin Kharkiv National University, Kharkiv, Ukraine; Department of Law, University of Macerata, Macerata, Italy; Department of Economics and Law, University of Macerata, Macerata, Italy; Department of Political Science, Communication and International Relations, University of Macerata, Macerata, Italy; Department of Information Engineering, Marche Polytechnic University, Ancona, Italy",IEEE Access,"9 Jan 2024","2024","12","","3881","3897","As reliance on disruptive applications based on Artificial Intelligence (AI) and Blockchain grows, the need for secure and trustworthy solutions becomes ever more critical. Whereas much research has been conducted on AI and Blockchain, there is a shortage of comprehensive studies examining their integration from a security perspective. Hence, this survey addresses such a gap and provides insights for policymakers, researchers, and practitioners exploiting AI and Blockchain’s evolving integration. Specifically, this paper analyzes the potential benefits of the integration of AI and Blockchain as well as the related security concerns, identifying possible mitigation strategies, suggesting regulatory measures, and describing the impact it has on public trust.","2169-3536","","10.1109/ACCESS.2023.3349019","European Union’s Horizon 2020 Research and Innovation Programme through the Marie Skłodowska-Curie, Project title “TRUST-digital TuRn in EUrope: strengthening relational reliance through Technology,”(grant numbers:101007820); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10379100","AI;artificial intelligence;blockchain;distributed ledger technology;security","Blockchains;Artificial intelligence;Security;Task analysis;Deep learning;Decision making;Data models;Distributed ledger","","17","","112","CCBY","1 Jan 2024","","","IEEE","IEEE Journals"
"Online Edtech Platform with AI Doubt Assistance","R. Ketak; S. Mittal; V. Gupta; H. Gupta","Applied Computational Science and Engineering, G.L. Bajaj Institute of Technology and Management, Greater Noida, India; Applied Computational Science and Engineering, G.L. Bajaj Institute of Technology and Management, Greater Noida, India; Applied Computational Science and Engineering, G.L. Bajaj Institute of Technology and Management, Greater Noida, India; Applied Computational Science and Engineering, G.L. Bajaj Institute of Technology and Management, Greater Noida, India",2024 2nd International Conference on Disruptive Technologies (ICDT),"11 Apr 2024","2024","","","1395","1399","This study assesses the impact of Artificial Intelligence (AI) on education through a qualitative analysis of literature. The research focuses on the application of AI in administration, instruction, and learning. The findings reveal extensive adoption of AI in education, with benefits including improved administrative efficiency, personalized learning experiences, and enhanced learning outcomes. AI-powered Question and answering bots are highlighted as promising tools for providing immediate support, personalized learning experiences, and skill development for students, while also offering improved pedagogy and valuable time-saving assistance for educators. However, challenges and concerns related to AI applications, such as reliability, accuracy, and ethical considerations, require careful attention and management. This research provides valuable insights into the potential of AI to revolutionize education while emphasizing the importance of addressing critical challenges to ensure ethical and effective implementation.","","979-8-3503-7105-5","10.1109/ICDT61202.2024.10489310","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10489310","Artificial intelligence;Education;Instruction;Learning;Question and answering bot;Chatbot in education","Ethics;Education;Chatbots;Reliability;Artificial intelligence;Disruptive technologies","","1","","7","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"Thinking Responsibly About Responsible AI in Risk Management: The Darkside of AI in RM","A. B. M. Metwally; S. A. M. Ali; A. T. I. Mohamed","Accounting Department, King Faisal University, Al-Ahsa, Saudi Arabia; Accounting Department, University of Bahrain, Sakhir, Kingdom of Bahrain; Buisness Administration Department, Applied Science University, Manama, Kingdom of Bahrain",2024 ASU International Conference in Emerging Technologies for Sustainability and Intelligent Systems (ICETSIS),"19 Mar 2024","2024","","","1","5","Artificial Intelligence (AI) holds great potential for enhancing Risk Management (RM) through automated data integration and analysis. While the positive impact of AI in RM is acknowledged, concerns are rising about unintended consequences. This study explores factors like opacity, technology and security risks, revealing potential operational inefficiencies and inaccurate risk assessments. Through archival research and stakeholder interviews, including chief risk officers and credit managers, findings highlight the risks stemming from the absence of AI regulations, operational opacity, and information overload. These risks encompass cybersecurity threats, data manipulation uncertainties, monitoring challenges, and biases in algorithms. The study emphasizes the need for a responsible AI framework to address these emerging risks and enhance the effectiveness of RM processes. By advocating for such a framework, the authors provide practical insights for risk managers and identify avenues for future research in this evolving field.","","979-8-3503-7222-9","10.1109/ICETSIS61505.2024.10459684","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10459684","Artificial intelligence;machine learning;risk management;AI Darkside;responsible AI;AI based risk management","Uncertainty;Data integration;Regulation;Risk management;Stakeholders;Artificial intelligence;Sustainable development","","3","","37","IEEE","19 Mar 2024","","","IEEE","IEEE Conferences"
"Unveiling the Future: Exploring AI Applications in the Indian Judicial System","R. S. Rana; S. Singh; M. Aggarwal; M. Badoni","Department of Legal Studies Banasthali Vidyapth, Jaipur, India; Department of Legal Studies Banasthali Vidyapth, Jaipur, India; Uttaranchal Insitute of Management, Uttaranchal University, Dehradun, India; Uttaranchal School of Hotel & Hospitality Management, Uttaranchal University, Dehradun, India",2023 11th International Conference on Intelligent Systems and Embedded Design (ISED),"28 Feb 2024","2023","","","1","5","The infusion of Artificial Intelligence (AI) into every facet of life has raised pertinent questions about its potential integration within the legal system, a domain traditionally governed by human judgment, principles of equity, and the pursuit of sound jurisprudence. The Supreme Court of India has historically been a bastion of “demosprudence,” emphasizing a humanistic approach to the administration of justice. Nevertheless, the rapid advancement of scientific methods and technologies necessitates the consideration of AI's application in the legal system. In contemporary times, AI is being utilized by courts in various capacities, such as data storage and retrieval, multi-body litigation service systems, online dispute resolution platforms, and even judgment prediction. However, the authenticity and integrity of AI-driven solutions remain a subject of skepticism among academics and experts, primarily due to the inherent limitations of AI's application in this context. This paper delves into a comprehensive exploration of AI applications within the Indian Judicial System, meticulously analyzing its potential benefits and limitations. From AI-driven case management to the digitalization of dispute resolution platforms, the impact of AI on the judiciary is scrutinized. The study emphasizes the imperative need for responsible AI adoption, advocating for measures that can facilitate its effective integration while addressing the associated concerns and ensuring a harmonious coexistence of AI and human judgment in the legal realm.","","979-8-3503-1815-9","10.1109/ISED59382.2023.10444600","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10444600","Indian Judicial System;Artificial Intelligence;Online Dispute Resolution Platform;digitalization of judiciary;Courts of India","Uncertainty;Law;Memory;Software;Robustness;Artificial intelligence;Intelligent systems","","","","13","IEEE","28 Feb 2024","","","IEEE","IEEE Conferences"
"Story of Artificial Intelligence: research and publications behind","M. Ondrišová; L. Molnár; G. Juhás; A. Juhásová; J. Mažári; M. Mladoniczky","Faculty of Arts, Comenius University in Bratislava, Slovakia; Faculty of Informatics and Information Technologies, Slovak University of Technology, Bratislava, Slovakia; Faculty of Electrical Engineering and Information Technology, Slovak University of Technology, Bratislava, Slovakia; BIREGAL s.r.o, Bratislava, Slovakia; Faculty of Electrical Engineering and Information Technology, Slovak University of Technology, Bratislava, Slovakia; Faculty of Electrical Engineering and Information Technology, Slovak University of Technology, Bratislava, Slovakia",2019 17th International Conference on Emerging eLearning Technologies and Applications (ICETA),"19 Mar 2020","2019","","","581","586","Artificial intelligence (AI) is now one of the most popular areas of Information technology (IT). While “a classical” problem solving is based on algorithm approach, AI offers systems which simulate human intelligence. Along with IT, AI has experienced extremely rapid development of tools, methods and applications. Nowadays AI is a buzz word, for some people a hope to solve their problems, for others a danger with negative impact on their life. AI, despite its current popularity, is nothing new. It has a long and rich history and a rich structure as well. In our paper we will show “what is behind” popularity of AI by bibliometric analysis of publications presented in SCOPUS up to the year 2019. We will show an evolution of structure of AI in particular periods of time, number of publications, the most active countries and research disciplines. We will present the results of keyword analysis using thematic maps to visualize main trends and topics of AI for each particular time period.","","978-1-7281-4967-7","10.1109/ICETA48886.2019.9040059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9040059","","Artificial intelligence;Visualization;Information technology;Periodic structures;Collaboration;Database systems;Problem-solving","","","","9","IEEE","19 Mar 2020","","","IEEE","IEEE Conferences"
"Human-Centered Artificial Intelligence: Designing for User Empowerment and Ethical Considerations","U. A. Usmani; A. Happonen; J. Watada","Universiti Teknologi Petronas, Perak, Malaysia; LUT University, Lappeenranta, Finland; Waseda University, Tokyo, Japan","2023 5th International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA)","26 Jun 2023","2023","","","1","7","Human-Centered Artificial Intelligence (AI) focuses on AI systems prioritizing user empowerment and ethical considerations. We explore the importance of usercentric design principles and ethical guidelines in creating AI technologies that enhance user experiences and align with human values. It emphasizes user empowerment through personalized experiences and explainable AI, fostering trust and user agency. Ethical considerations, including fairness, transparency, accountability, and privacy protection, are addressed to ensure AI systems respect human rights and avoid biases. Effective human AI collaboration is emphasized, promoting shared decision-making and user control. By involving interdisciplinary collaboration, this research contributes to advancing human-centered AI, providing practical recommendations for designing AI systems that enhance user experiences, promote user empowerment, and adhere to ethical standards. It emphasizes the harmonious coexistence between humans and AI, enhancing well-being and autonomy and creating a future where AI technologies benefit humanity. Overall, this research highlights the significance of human-centered AI in creating a positive impact. By centering on users' needs and values, AI systems can be designed to empower individuals and enhance their experiences. Ethical considerations are crucial to ensure fairness and transparency. With effective collaboration between humans and AI, we can harness the potential of AI to create a future that aligns with human aspirations and promotes societal well-being.","","979-8-3503-3752-5","10.1109/HORA58378.2023.10156761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10156761","Human-Centered;Digitalization;Artificial Intelligence;AI;Ethicality;Ethical consideration;Empowerment;Transparency;Technology transfer;Society 2.0","Human computer interaction;Ethics;Privacy;Humanities;Collaboration;Artificial intelligence;Standards;Robots;Optimization;Guidelines","","19","","68","IEEE","26 Jun 2023","","","IEEE","IEEE Conferences"
"Design of an Ethical Framework for Artificial Intelligence in Cultural Heritage","S. Pansoni; S. Tiribelli; M. Paolanti; E. Frontoni; B. Giovanola","Department of Political Sciences Communication and International Relations, University of Macerata, Macerata, Italy; Department of Political Sciences Communication and International Relations, University of Macerata, Macerata, Italy; Department of Political Sciences Communication and International Relations, University of Macerata, Macerata, Italy; Department of Political Sciences Communication and International Relations, University of Macerata, Macerata, Italy; Department of Political Sciences Communication and International Relations, University of Macerata, Macerata, Italy","2023 IEEE International Symposium on Ethics in Engineering, Science, and Technology (ETHICS)","23 Jun 2023","2023","","","1","5","In recent years Artificial Intelligence (AI) has found its way into the creative and cultural industries, opening up new challenges and opportunities, poorly sufficiently explored today. However, when it comes to culture and creativity, many social and political cost factors should be taken into account. It is crucial to identify the opportunities that AI can offer in terms of the preservation, use, promotion, and accessibility of Cultural Heritage (CH). However, ethical concerns should be outlined when applying AI in cultural settings, such as for the digital replica of official UNESCO heritage sites or an unbiased explanation and interpretation of a work of art. This paper provides a first attempt to define the main ethical findings on this topic and propose it as an ethical framework to assess different risks arising from the use of AI in the CH domain. The application of this disruptive technology in the arts is evaluated through the lens of ethical principles for trustworthy AI and it explores whether the wider accessibility and improved preservation techniques enabled by AI come at some cost in terms of interpretation, social and cultural inclusion, subjectivism, or other forms of bias. The main ethical principles that emerge from the literature for the application of AI in the cultural domain are the following: Shared Responsibility, Meaningful Participation, Explainability, Accessibility, Sustainability, Reliability and Dignity. The findings underline the importance of establishing specific sectoral ethical guidelines for AI in the field of tangible and intangible CH to support and enhance its sustainable development without compromising its values, significance, sense of belonging and strong social impact.","","978-1-6654-5713-2","10.1109/ETHICS57328.2023.10155020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10155020","AI Ethics Guidelines;Cultural Heritage;Artificial Intelligence;Cultural Sustainability;Digital Transformation;Global Justice","Industries;Ethics;Art;Costs;Cultural differences;Reliability;Artificial intelligence","","5","","20","IEEE","23 Jun 2023","","","IEEE","IEEE Conferences"
"Effects of Artificial Intelligence on Enterprise Architectures - A Structured Literature Review","J. D. Rittelmeyer; K. Sandkuhl","Institute of Computer Science, University of Rostock, Rostock, Germany; Institute of Computer Science, University of Rostock, Rostock, Germany",2021 IEEE 25th International Enterprise Distributed Object Computing Workshop (EDOCW),"1 Dec 2021","2021","","","130","137","Artificial Intelligence (AI) is one of the key drivers of digital transformation and challenges enterprises to adapt to its various requirements. Many companies fail to implement AI applications or have significant trouble because of data or process requirements. The changes in a company resulting from the implementation of AI applications can vary from small data format changes over a restructuring of its application landscape to the implementation or deletion of whole business processes or roles. Thus, the implementation of AI applications can significantly impact a company’s enterprise architecture (EA). We argue that research could facilitate the adoption of AI and help to preserve AI projects from failing. To determine what further research is necessary, this paper seeks to give an overview of the current state-of-the-art of research on the effects of AI applications on EA. For this purpose, we performed a structured literature review (SLR), formulating inclusion and exclusion criteria, developing several search strings, applying them to four scientific databases, performing a forward and backwards search and summarizing the key findings. The (1) performance of the literature review and the (2) discussion of its findings are the main contributions of this paper, identifying a research gap as no concrete research about the effects of AI applications on enterprise architectures could be found. However, a handful of papers in the area of AI and EAM are discovered that endorse the need for further research.","2325-6605","978-1-6654-4488-0","10.1109/EDOCW52865.2021.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9626249","Artificial Intelligence;Digital Transformation;Enterprise Architecture;Enterprise Architecture Management;Structured Literature Review","Databases;Bibliographies;Digital transformation;Conferences;Computer architecture;Companies;Artificial intelligence","","4","","23","IEEE","1 Dec 2021","","","IEEE","IEEE Conferences"
"The Role of Artificial Intelligence in Managing Emergencies and Crises within Smart Cities","S. S. Haghshenas; G. Guido; S. S. Haghshenas; V. Astarita","Department of Civil Engineering, University of Calabria, Rende, Italy; Department of Civil Engineering, University of Calabria, Rende, Italy; Department of Civil Engineering, University of Calabria, Rende, Italy; Department of Civil Engineering, University of Calabria, Rende, Italy",2023 International Conference on Information and Communication Technologies for Disaster Management (ICT-DM),"24 Oct 2023","2023","","","1","5","The rapid growth of urbanization and the consequent rise in the urban population have created unprecedented challenges for cities. Traditional methods have proven insufficient in tackling these challenges, prompting the adoption of modern technology, such as the Internet and sensors, to enhance the delivery of services and amenities to urban residents. This has led to the emergence of smart cities across the globe. Recently, there has been a surge in the use of information technology (IT) and the Internet of Things (IoT) in smart cities, particularly for crisis management. At present, cities are leveraging modern technology, IT, and IoT to improve the quality of life for their residents. It is beyond dispute that modern technologies play a pivotal role in managing emergencies and crises in smart cities. As these technologies experience rapid growth in the coming years, we can anticipate their roles and impact in smart cities to expand even further. The present study aims to investigate the role of artificial intelligence (AI) in emergency and crisis management in smart cities. Additionally, the challenges and opportunities associated with the use of AI in this context are explored, and recommendations are provided to enhance the level of awareness among researchers regarding this topic for future investigations.","2643-6868","979-8-3503-1951-4","10.1109/ICT-DM58371.2023.10286925","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286925","Smart Cities;Artificial Intelligence;Managing Emergencies;Managing Crises;IoT","Crisis management;Smart cities;Sociology;Information and communication technology;Internet of Things;Artificial intelligence;Statistics","","4","","50","IEEE","24 Oct 2023","","","IEEE","IEEE Conferences"
"Augmenting Cybersecurity and Fraud Detection Using Artificial Intelligence Advancements","K. Kumar; Kuldeep; B. Bhushan","Department of Computer Science and Engineering, Sharda University, Greater Noida, India; Department of Computer Science and Engineering, Sharda University, Greater Noida, India; Department of Computer Science and Engineering, Sharda University, Greater Noida, India","2023 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)","15 Feb 2024","2023","","","1207","1212","In 2023, the rapid advancement of Generative AI (GenAI) models, including ChatGPT and Google Bard, has reshaped the digital landscape. GenAI tools are now used both defensively and offensively, raising crucial questions about their societal, ethical, and privacy implications. Artificial Intelligence (AI) plays a pivotal role in the Fourth Industrial Revolution, enhancing the security of computer networks. This study investigates these connections, finding that e-Governance partially mediates the link between AI and cybersecurity, with stakeholders influencing this dynamic. AI's increasing integration into daily life, spanning healthcare, finance, and surveillance, emphasizes the importance of data privacy. The handling of extensive datasets by AI systems brings about unique privacy and ethical challenges, necessitating stringent safeguards. This concise abstract underscore the profound impact of GenAI models on cybersecurity in 2023, emphasizing their implications for society, ethics, and privacy. It highlights nuanced relationships between AI, e-Governance, and cybersecurity, while acknowledging the need for robust privacy protection. The paper calls attention to the potential of advanced techniques to fortify cybersecurity against ever-evolving threats.","","979-8-3503-0611-8","10.1109/ICCCIS60361.2023.10425069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10425069","Artificial Intelligence;Cyber-security;GenAI","Privacy;Ethics;Data privacy;Internet;Stakeholders;Artificial intelligence;Computer security","","1","","25","IEEE","15 Feb 2024","","","IEEE","IEEE Conferences"
"Implementation Challenge of Artificial Intelligence in Human Resource Management for Employee Performance Monitoring Indonesia Companies Perspective","E. Y. Wirawan; M. Gusan Putra; B. Nugroho","Doctoral Program of Management, Brawijaya University, Jakarta Campus, Indonesia; Doctoral Program of Information Systen, Diponegoro University, Semarang, Indonesia; Res. Center for Data and Information Science, National Research and Innovation Agency, Bandung, Indonesia",2024 International Conference on ICT for Smart Society (ICISS),"19 Nov 2024","2024","","","1","7","The main problem solved is to Improve Employee Performance Monitoring by Integrating Artificial Intelligence (AI) in Human Resource Management for Indonesian Companies. The paper suggests using AI technologies to analyze and process employee performance data. The overarching goal of this new approach is to identify patterns and red flags at the individual and team levels that can be used to inform stronger performance management strategies such as guided coaching, pointed feedback, or calibrated evaluations. This study is written as a schematic literature review, using sourced research articles from Indonesia and other countries to obtain the effects of AI on employee performance. This exercise showed how AI works in performance patterns and assists HR strategies. The findings AI has an impact on recognizing patterns in empirical data of how employees perform, helps to tailor training/development programs, and improves talent management and succession planning. Those results signify that AI has the potential to be a game-changer for HR practices in Indonesia. AI in HRM using employee performance monitoring seems an encouraging alternative for Indonesia. Through data-driven decision-making and automated HR routine tasks with many challenges and should prepare well to implement.","","979-8-3503-8965-4","10.1109/ICISS62896.2024.10751025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10751025","Artificial Intelligence;Employee Performance;HRM;AI Implementation","Leadership;Smart cities;Employment;Ecosystems;Decision making;Companies;Planning;Pattern recognition;Artificial intelligence;Monitoring","","","","42","IEEE","19 Nov 2024","","","IEEE","IEEE Conferences"
"Advancements and Applications of Artificial Intelligence in Various Sectors: From Internet of Vehicles to 6G and Healthcare","A. Mittal; H. Pandey; M. Arsh; M. Soni; H. R. Goyal; S. Sharma","Dept of Allied Sciences, Graphic Era Hill University, Uttarakhand, India; Dept of CSE, Graphic Era Hill University, Uttarakhand, India; Dept of CSE, Graphic Era Hill University, Uttarakhand, India; Dr. D.Y. Patil Vidyapeeth, Pune, Dr. D.Y. Patil School of Science & Technology, Pune; Dept. of Compter Science & Engg., Graphic Era Deemed to be University, Dehradun, India; SOM, Graphic Era Hill University, India",2024 4th International Conference on Pervasive Computing and Social Networking (ICPCSN),"30 Jul 2024","2024","","","107","112","This research study explores the diverse application of Artificial Intelligence (AI) across various areas, it transforms impact on technological advancement. This survey begins by investing in AI’s role in enhancing the efficiency of the Internet of Vehicles through real-time Data collection and edge computing addressing challenges in optimizing edge service. The paper goes into AI’s critical contribution to medical diagnosis, disease detection and treatment highlighting applications in breast cancer detection and medical image analysis. The concept of human-AI collaboration is introduced, using the integration of human intelligence with AI to create a hybrid intelligence system. The paper further discusses an ice role in the COVID-19 pandemic from diagnosis to treatment utilizing deep learning techniques and extreme learning machines. This study extends to large-scale, power grid simulation analysis, where AI including deep learning and reinforcement learning significantly improves efficiency and accuracy. The integration of AI into robotics explains the role of teaching, assistant robots and vision-based assessment systems. The concept of smart farming is introduced, showcasing its potential to revolutionize agriculture production. Focusing on maximum PowerPoint tracking techniques for the improvement of efficiency. This study explores applying the artificial immune system of multi-objective optimization with decision-making and introduces the beneficial perturbation network for overcoming continued learning challenges in an Artificial Neural Network (ANN). Satellite communication and the vision of a 6G network are discussed in the integration of AI, IOT and 5G. In the context of the next generation, Smart credit is highlighted in this study and finally concluded by discussing about the challenges in Wireless Sensor Networks (WSN) and the increasing importance of AI.","","979-8-3503-8634-9","10.1109/ICPCSN62568.2024.00026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10607759","Artificial Intelligence;Medical Diagnosis;Smart Farming;Communication;Education","6G mobile communication;Surveys;Wireless sensor networks;Pandemics;Perturbation methods;Real-time systems;Artificial intelligence","","","","27","IEEE","30 Jul 2024","","","IEEE","IEEE Conferences"
"Management of Information Support and Automation of Energy Systems based on Artificial Intelligence","Y. Viedienina; L. Sakun; K. Mazharenko; M. Kovalenko","Management Department Kremenchuk Mykhailo Ostrohradskyi, National University, Kremenchuk, Ukraine; Management Department Kremenchuk Mykhailo Ostrohradskyi, National University, Kremenchuk, Ukraine; Management Department Kremenchuk Mykhailo Ostrohradskyi, National University, Kremenchuk, Ukraine; Management Department Kremenchuk Mykhailo Ostrohradskyi, National University, Kremenchuk, Ukraine",2023 IEEE 5th International Conference on Modern Electrical and Energy System (MEES),"29 Jan 2024","2023","","","1","6","This article investigates the impact of artificial intelligence (AI) on information support and automation in energy systems. It adopts a multi-method approach, combining literature review, case studies, and data analysis to explore various AI techniques and their applications in the energy sector. The findings show that AI-based tools can enhance the prediction, optimization, extraction, analysis, and recommendation of energy-related data, leading to improved efficiency, reliability, and sustainability of energy systems. The article also discusses AI technologies such as deep learning, reinforcement learning, and Internet of Things (IoT) integration, which offer novel opportunities for information support and automation in the energy sector. The article provides practical recommendations on the implementation of AI tools in energy systems, highlighting best practices and key considerations.","","979-8-3503-5978-7","10.1109/MEES61502.2023.10402493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10402493","artificial intelligence;information support;automation;energy systems;smart energy","Deep learning;Automation;Reinforcement learning;Reliability;Internet of Things;Artificial intelligence;Optimization","","","","29","IEEE","29 Jan 2024","","","IEEE","IEEE Conferences"
"Impact of Explainable AI on Reduction of Algorithm Bias in Facial Recognition Technologies","A. B; C. H; L. P; L. O",University of Virginia; University of Virginia; Hampton University; Albemarle High School,2024 Systems and Information Engineering Design Symposium (SIEDS),"21 May 2024","2024","","","85","89","Artificial Intelligence (AI) has grown dramatically over the past few decades and has much greater influence today on human performance in every walk of life. AI is great for accelerating our work, but there are also downsides to it. One such downside is the application of Facial Recognition Technologies (FRT) available today, which has adverse consequences like racial discrimination or wrongful judgement by commercial firms and even law enforcement organizations. The landmark ‘Gender Shades’ project [1] in 2018 showed a highly skewed error bar between facial recognition accuracies of subjects who are black females compared to white males using an intersectional comparison approach between facial recognition software by IBM, Microsoft and Face++. This supplemented previous studies which highlighted issues with gender classification or on the whole misidentification issues posed by facial recognition technologies (FRT) [2]. This algorithm bias towards misgendering or misclassification based on skin color could be attributed to a highly unbalanced training datasets that lack diversity as well as a lack of understanding of the black box machine learning (ML) models that are used to build the FRTs. From a Code of Ethics perspective, such algorithms do not conform to the fundamental canons [3] such as prioritizing the safety, and welfare of the public. Furthermore, they cannot be used honorably, responsibly and ethically to enhance the reputation, and usefulness of the companies promoting these technologies because they are unable to provide truthful and objective information regarding facial recognition. A possible remedy could be to curate an exhaustively diverse dataset w.r.t both color and gender. However, the task of building such a dataset would require access to a diverse population, which is not always possible in a multi-racial and multi-ethnic society. We thus propose an exhaustive review-based study of existing work on the introduction of explainable AI [4],[5] (XAI) techniques in such ML models to understand how the model itself learns. This study would explore what constraints to put on the learning method of the model, which can enforce reduction in misclassification errors from gender and skin color thus enforcing various ethical aspects like taking care of algorithm bias, introducing transparency and accountability. It would also explore and underline the overall social impact improved FRTs might have from a code of ethics perspective.","2994-3531","979-8-3503-8514-4","10.1109/SIEDS61124.2024.10534745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10534745","","Training;Ethics;Explainable AI;Face recognition;Sociology;Color;Oral communication","","","","18","IEEE","21 May 2024","","","IEEE","IEEE Conferences"
