Autores,Título,Fonte,Ano,Palavras-chave,Resumo,base
chen h;chen ;zhao jf,integrated design of financial self-service terminal based on artificial intelligence voice interaction,frontiers in psychology,2022,artificial intelligence; intelligent voice; financial self-help; integrated design; terminal,"Integrated design of financial self-service terminal based on artificial intelligence voice interaction with the rapid development of science and technology, artificial intelligence technology is deepening in the field of intelligence and automation. The financial industry is the lifeblood of a country's economy, with great growth potential and high growth rate. The integrated design of intelligent financial self-service terminal has become an important topic in the field of rapid development of social economy and science and technology. Therefore, this paper designs the integration of financial self-service terminal based on artificial intelligence voice interaction. First, this paper introduces the meaning and composition of financial self-service terminal integration, then studies the voice interaction principle based on artificial intelligence technology, and designs the integrated structure of financial self-service terminal with voice interaction. After that, this paper makes a series of tests on voice interaction technology, user experience, and the performance of financial self-service terminal. Finally, the test results of voice interaction are as follows: the delay estimation results of voice interaction of the terminal are relatively accurate, and the error points are basically within five sampling points, which indicate that the delay estimation algorithm is practical. The endpoint detection method based on CO complexity can effectively overcome the impact of noise environment on speech endpoint detection system and is suitable for the requirements of robust speech recognition system. Considering that the actual application scenario of voice positioning can judge the speaker's position and turn to the speaker's direction during human-computer interaction, the azimuth error is acceptable within a few degrees to meet the application requirements. The direction angle error is acceptable within a few degrees to meet the application requirements. The accuracy of the improved algorithm is improved in intercepting effective speech signals. The terminal has short running time and delay time, small memory, and central processing unit (CPU) occupation and can meet the needs of users. The speech recognition accuracy of the financial self-service terminal basically reaches more than 80%, which can basically meet the daily needs.",wos
zhang t;tan ;samperna ;li ;gao ;wang ;han l;yu q;beets-tan rg;mann rm,radiomics and artificial intelligence in breast imaging: a survey,artificial intelligence review,2023,Breast cancer; Artificial Intelligence; Radiomics; Magnetic resonance imaging; Mammography; Ultrasound,"Medical imaging techniques, such as mammography, ultrasound and magnetic resonance imaging, plays an integral role in the detection and characterization of breast cancer. Although computers are believed to gain an important role in the assessment of medical images for breast evaluation for at least two decades, their impact on performance has not lived up to expectations yet. With the continuous and rapid development of computer science, artificial intelligence (AI) approaches, like machine learning and deep learning, have been introduced for the analysis of medical images. Because of the remarkable advances in data extraction and analysis in medical imaging compared to conventional feature-based techniques, AI has reignited the interest in automated breast image interpretation. Extensive research is conducted on accurate detection and classification of breast lesions, and more specifically, the predictive and prognostic features of breast cancer by radiomics. Radiomics exploits the fact that image data is nowadays numerical and can also be used to generate quantitative biomarkers. In this comprehensive review, we cover the progress, application and challenge of radiomics and AI in breast cancer diagnosis in recent years, as well as the impact and significance of AI on future breast cancer research.",wos
zúñiga cp;martínez rc;velázquez m;santamaría dra,artificial intelligence: challenges for the ecuadorian labor regulatory framework,revista universidad y sociedad,2021,Artificial intelligence; labor law; legislation; social security,"The development of machinery, technological, digital, biological and other advances in recent times, unleashed what is known as the Fourth Industrial Revolution or Industry 4.0, with predominance of the implementation of artificial intelligence programmed and operated by humans, the consequence of which is that a considerable number of workers were replaced in the productive activity. In accordance with the vertiginous progress of science, it is considered that the replacement of man by machines generates an impact that in the future could have repercussions on the fragile social security system of Ecuador due to a possible decrease of affiliates, a situation that has been a reality in other countries with greater technological development, which have even presented conflicts of an ethical nature involving business and union interests. This work addressed situations in which artificial intelligence could be legislated in the country. A relational type of research was developed, using techniques such as the criteria of experts and professionals in the areas of Computer Science and Law, which allowed contrasting the positions of the researchers. The main results identified potential conditions that would require regulation in the Ecuadorian regulatory context.",wos
serova e,artificial intelligence for analysis of collaborative consumer networks management,proceedings of the european conference on the impact of artificial intelligence and robotics (eciair 2019),2019,Artificial Intelligence; Collaborative Consumer Networks; Strategy; Emerging Markets; Information infrastructure; Intelligent Agent,"This research paper studies the application of Artificial Intelligence (AI) and intelligent technologies and systems to expand customer relations management possibilities for growth of consumer network and development of open adaptive information infrastructure of modern Company. Now networks are an effective tool for purposefully coordinate efforts of all their participants. Thus, there is an urge to study theoretical principles of their formation and find a set of specific managerial skills needed for their efficient operations by developing a strategy to manage relations with other network participants. Simultaneously, in emerging markets, AI and intelligent technologies are in fact an integral part of cutting-edge management systems. They add to globalization of business by providing quick access to employees worldwide, as well as coordinating global interaction between companies at different stages of value chain. It does not mean that intelligent technologies and systems simply increase efficiency of a company's operations; they can be considered as key intangible asset. Their successful integration in the company's information structure can provide significant business effect. This research aims are analyzing applicability and adaptability of the joint customer relations management technologies and multi-agent systems (MAS), as well as the formation of external information infrastructure of companies with growing collaborative consumer network. The paper considers application of integrated approach for software company whose external infrastructure consists of the following blocks: potential consumers; technical support and consultancy; education; sales and dealership. The company strives for long-term contracts, customer loyalty and customer-oriented approach in emerging markets. The study is conceptual and research in equal measure, and provides the examination of approach to forming an external information infrastructure for a company with collaborative consumer network by joining opportunities of CRM and multi-agent technologies. Original contribution: the paper considers application of AI for modern company whose external infrastructure consists of the following blocks: potential consumers; technical support and consultancy; education; sales and dealership.",wos
tagde ;tagde ;bhattacharya ;tagde ;chopra ;akter ;kaushik ;rahman mh,blockchain and artificial intelligence technology in e-health,environmental science and pollution research,2021,Blockchain; Artificial intelligence; Electronic health records; e-Health; Data security,"Blockchain and artificial intelligence technologies are novel innovations in healthcare sector. Data on healthcare indices are collected from data published on Web of Sciences and other Google survey from various governing bodies. In this review, we focused on various aspects of blockchain and artificial intelligence and also discussed about integrating both technologies for making a significant difference in healthcare by promoting the implementation of a generalizable analytical technology that can be integrated into a more comprehensive risk management approach. This article has shown the various possibilities of creating reliable artificial intelligence models in e-Health using blockchain, which is an open network for the sharing and authorization of information. Healthcare professionals will have access to the blockchain to display the medical records of the patient, and AI uses a variety of proposed algorithms and decision-making capability, as well as large quantities of data. Thus, by integrating the latest advances of these technologies, the medical system will have improved service efficiency, reduced costs, and democratized healthcare. Blockchain enables the storage of cryptographic records, which AI needs.",wos
liu h;wang ;yan zf,artificial intelligence and food processing firms productivity: evidence from china,sustainability,2024,artificial intelligence; food processing; manufacturing firms performance; labor force structure; total factor productivity,"Amidst the tremendous evolution of the digital economy and the expedited establishment of a new development paradigm, the use of artificial intelligence (AI) technologies holds significant importance in achieving superior economic development. While much of the previous research focused on the macroeconomic impact of AI, this study examined how AI technology affects food processing firm performance, productivity, and labor skill structure at the food processing firm level. This study utilized panel data from listed food processing enterprises in Shanghai and Shenzhen spanning from 2010 to 2021, performing textual analysis on the annual reports of listed companies and then creating enterprise-level AI indicators to empirically examine the influence of AI applications on enterprise performance and its underlying mechanisms. The findings indicate a substantial improvement in business performance due to the application of artificial intelligence, which is a conclusion corroborated through a series of stability tests. Exploring channels and mechanisms, the analysis revealed that AI-driven advancements in production technologies stimulated the requirement for highly skilled labor, thereby inducing shifts in the labor force's structure. Further investigation demonstrated that artificial intelligence contributed to enhancing the total factor productivity, consequently bolstering the overall enterprise performance. A heterogeneity analysis showed that firm-level factors, such as the nature of property rights and factor intensity, had an impact on the influence of AI on firm performance. In addition, the geographic location and time of year of a company also had impacts on the productivity benefits of artificial intelligence. This research deepened the cognition and understanding of the role played by AI in the production process at the micro-enterprise level and provided suggestions for promoting the development of artificial intelligence technologies at the micro-enterprise level, which will facilitate the transformation of the labor structure to further augment enterprise efficiency.",wos
he m;li z;liu ;shi d;tan z,deployment of artificial intelligence in real-world practice: opportunity and challenge,asia-pacific journal of ophthalmology,2020,artificial intelligence; deployment; real-world,"Artificial intelligence has rapidly evolved from the experimental phase to the implementation phase in many image-driven clinical disciplines, including ophthalmology. A combination of the increasing availability of large datasets and computing power with revolutionary progress in deep learning has created unprecedented opportunities for major breakthrough improvements in the performance and accuracy of automated diagnoses that primarily focus on image recognition and feature detection. Such an automated disease classification would significantly improve the accessibility, efficiency, and cost-effectiveness of eye care systems where it is less dependent on human input, potentially enabling diagnosis to be cheaper, quicker, and more consistent. Although this technology will have a profound impact on clinical flow and practice patterns sooner or later, translating such a technology into clinical practice is challenging and requires similar levels of accountability and effectiveness as any new medication or medical device due to the potential problems of bias, and ethical, medical, and legal issues that might arise. The objective of this review is to summarize the opportunities and challenges of this transition and to facilitate the integration of artificial intelligence (AI) into routine clinical practice based on our best understanding and experience in this area.",wos
gu j;wu ;song y;nicolescu ac,a win-win relationship? new evidence on artificial intelligence and new energy vehicles,energy economics,2024,Artificial intelligence; Electric vehicles; Win -win relationship; Dynamic,"Investigating the vital role of artificial intelligence is essential to develop the electric vehicle market. This study utilises the wavelet-based QQR methodology to seize the dynamic correlation of artificial intelligence index (AII) and electric vehicle indicator (EVI). Based on quantitative deliberations, the favourable effects of AII on EVI at low-low and high-high quantiles and adverse impacts at high-low and low-high quantiles in the short run confirm the role of artificial intelligence in facilitating the electric vehicle market. However, the favourable effect of AII at medium to high quantiles on EVI at low quantiles refutes it because of the crowding-out effect. Conversely, the positive impact of EVI at medium to high quantiles on AII at low to medium quantiles ascertains the crowdingout effect of electric vehicles, while AII at medium to high quantiles cannot agree on it due to safety and convenience needs. In the mid-to-long term, the interactions of AII and EVI are gradually weakened, and speculative behaviours, crowding-out effects, and safety concerns drive the different cases. Therefore, a win-win situation between them does not always hold, and recommendations are being offered to enhance the significance of artificial intelligence in electric vehicles under the new round of scientific and technological revolution.",wos
zheng ;zhao c;usman ;poulova p,from bias to brilliance: the impact of artificial intelligence usage on recruitment biases in china,ieee transactions on engineering management,2024,Artificial intelligence; Recruitment; Companies; Data analysis; Task analysis; Reliability; Productivity; Artificial intelligence (AI); human resource management; recruitment biases,"In the rapidly evolving landscape of human resources and talent acquisition, the impact of the usage of artificial intelligence (hereafter, AI) on recruitment biases has emerged as a pivotal and transformative subject of study. Therefore, this study aims to critically evaluate the impact of AI usage on recruitment biases, particularly in the context of China. The data were gathered through a survey of 423 respondents working in the manufacturing sector. We use a cross-sectional dataset and various diagnostics (i.e., reliability and collinearity tests). The empirical findings using multivariate regression techniques suggested that Al usage is reshaping the recruitment process by offering innovative solutions to tackle biases that have pervaded the hiring process for years. However, human involvement is indispensable in the recruitment process, alongside the use of AI. Although the use of AI can efficiently handle tasks such as resume screening and data analysis, human judgment brings essential qualities to the hiring process. Human recruiters possess the ability to assess a candidate's soft skills, cultural fit, and emotional intelligence, as these qualities are challenging for AI to comprehend. The policy implications of the study recommend that by combining the strengths of AI efficiency with human insight, organizations can create a recruitment process that is not only objective and efficient but also considerate, ethical, and aligned with the values and goals of the company.",wos
zhong h;chang j;lai c;chen p;ku s;chen sy,information undergraduate and non-information undergraduate on an artificial intelligence learning platform: an artificial intelligence assessment model using pls-sem analysis,education and information technologies,2024,Artificial intelligence learning platform; STEM education; Research model; Computational thinking; Partial least squares,"Artificial intelligence (AI) education is becoming an advanced learning trend in programming education. However, AI subjects can be difficult to understand because they require high programming skills and complex knowledge. This makes it challenging to determine how different departments of students are affected by them. This study draws on research in programming education and STEM education to explore the different factors that affect students in AI learning. Therefore, the purpose of this study is to investigate the impact of AI learning platforms on information undergraduate and non-information undergraduate by using a research model. The course was implemented for 65 students in the information undergraduate group and 39 students in the non-information undergraduate group. The findings showed that the two groups had different learning effects under different variables. Students with different cognitive styles may use different skills to positively influence self-regulated learning. This study provides important evidence to understand the learning impact of artificial intelligence among university students from different disciplines.",wos
ma c;ye j,linking artificial intelligence to service sabotage,service industries journal,2022,Artificial intelligence; service sabotage; organization-based self-esteem; perceived organizational support; conservation of resource theory,"The widespread use of artificial intelligence (AI) technology in the service industry has made the conflict between service robots and frontline employees a hot topic. While research shows that the adoption of service robots may have a negative impact on employees' psychology and behavior, little is known about its effects on frontline employee' service sabotage. The current study explores the influencing mechanism of service sabotage in the context of AI introduction based on the STARA theory and conservation of resource theory. The results reveal that: (1) Frontline employee's AI awareness direclty affects service sabotage; (2) Organization-based self-esteem plays a partial mediating role between AI awareness and service sabotage; (3) Perceived organizational support weakens the effect of AI awareness on service sabotage.",wos
zhang h;ding y;niu ;jung sm,how artificial intelligence affects international industrial transfer - evidence from industrial robot application,journal of asian economics,2024,Artificial intelligence; Industrial robot; International industrial transfer; Value added of trade; Global value chain,"The development of high technology represented by artificial intelligence is an essential driver of international industrial transfer. Using country-industry-level industrial robot data and valueadded trade data from 2002 to 2018, this paper empirically examines the impact and mechanism of artificial intelligence on the international industrial transfer undertaken by a country (region). The study shows that the application of artificial intelligence can significantly enhance the international industrial transfer undertaken by a country (region). Further analysis shows that artificial intelligence positively affects international industry transfer through two channels: Improving the quality of labor force and promoting the level technological innovation. Further heterogeneity analysis shows that, first, from the economic development degree perspective, artificial intelligence's role in promoting developing economies is more substantial than that in developed economies. Second, the financial crisis has weakened the impact of artificial intelligence on international industrial transfer from the perspective of time division,especially in developing economies. Third, from the perspective of industry heterogeneity, artificial intelligence has significantly promoted the transfer of medium-low and medium-high technology industries. The research in this paper extends the analysis of the effect of artificial intelligence. It provides realistic insights for optimizing the strategic layout of the robotics industry, achieving industrial structure upgrading, optimizing resource allocation efficiency, and grasping the opportunities of global industrial chain restructuring.",wos
qin ;wan ;dou j;su cw,artificial intelligence: intensifying or mitigating unemployment?,technology in society,2024,Artificial Intelligence; Unemployment; Wavelet analysis; Quantile on quantile regression,"The rapid development of Artificial Intelligence (AI) is simultaneously fostering a proliferation of novel job opportunities while rendering some traditional roles obsolete and specific skills outdated. Previous research has failed to consider the short-, medium-, and long-term variations in AI's impact on unemployment, which may lead to an incomplete understanding of the AI-employment relationship. This paper examines daily data from January 4, 2013, to August 12, 2024, utilising advanced wavelet-based Quantile on Quantile Regression (QQR) methodology to assess AI's impact on the Unemployment Index (UI) across quantiles and time scales, with a sample size of 2820 drawn from a larger dataset totalling 4241 observations. The conclusions reveal that AI generally positively impacts UI in the short term, especially with AI at 0.6-0.7 quantiles, as automation replaces workers faster than new job roles emerge and skills transform. However, in the medium term, positive and negative effects balance as new jobs and skills emerge through continuous industrial restructuring. In the long run, AI predominantly mitigates UI by further enhancing economic development, fostering skill upgrading, and facilitating market adjustments, but this result does not hold during AI at 0.7 quantiles and UI at the highest quantiles, such as Coronavirus Disease 2019 (COVID-19). Under new technological revolution and industrial transformation, we formulate China-specific suggestions to avert potential AI-induced unemployment crisis from short-term, medium-term, long-term, and sector-specific perspectives.",wos
wong j;tan ;zhong x;ho k;sim vw;yeo s;koh as,artificial intelligence for modeling complex treatment decisions in aortic valve intervention,"2024 ieee conference on artificial intelligence, cai 2024",2024,artificial intelligence; aortic stenosis; clinical decision-making; deep learning; neural networks,"When making treatment decisions for invasive cardiovascular procedures in older persons, physicians often face a myriad of complex scenarios, such as frailty, cognitive impairment, and multimorbidity. Accounting for these characteristics in real-world practice is challenging in aortic valve replacement for aortic stenosis (AS) as they impact individualized decisions in achieving meaningful postprocedural outcomes without excessive risk. Based on these characteristics, 864 unique scenarios were created that formed the original dataset, which was further split into 70% training and 30% testing datasets. More controversial clinical scenarios were further tuned based on responses from ten cardiologists and processed using multilayered neural network sequential features analysis and deep learning methods. Contrary to guidelines, symptoms and left ventricular function ranked low in physician importance. In contrast, aging-related functional features, including cognition, ambulation, and frailty scores, ranked high with good overall model accuracy (Shapley 0.811, TabNet 0.938). Feature optimization using the top three features showed good model accuracy (Shapley 0.811, TabNet 0.881). Here, AS illustrates a use case scenario in artificial intelligence (Al) that could he applied to complex clinical decision-making and has excellent potential for handling diverse clinical problems and augmenting physician treatment decision making.",wos
zhou ;wu x;wang y;wang y;zhang sa,application of artificial intelligence in physical education: a systematic review,education and information technologies,2024,Artificial Intelligence; Physical education; Empirical studies; Systematic review,"The application of artificial intelligence in physical education (AIPE) has provided new ways to improve learning and teaching activities in physical classes. However, literature reviews that provide a systematic review and analysis of AIPE are limited. To address this gap, this study provided an overview of AIPE-related empirical research. Specifically, it examined the general state of AIPE, algorithms used for AIPE, and the impact and challenges of AIPE. Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses,130 empirical studies related to AIPE were included in the final synthesis. The findings of this study demonstrated that numerous studies have explored the use of AI technologies to enhance physical education classes and training processes. These technologies have been widely employed in athletic performance analysis, health monitoring, and personalized training. AIPE offered great potential for providing personalized instruction, real-time feedback and assessment, and diverse learning environments. However, the use of AI technology poses challenges, including technical reliability and accuracy, privacy and security issues, as well as technical training and teacher support. These findings provide insights for future research on AIPE.",wos
song y;wang z;song c;wang j;liu r,impact of artificial intelligence on renewable energy supply chain vulnerability: evidence from 61 countries,energy economics,2024,Renewable energy; Supply chain vulnerability; Artificial intelligence; Spatial spillover effect,"By fully leveraging the mitigating effect of artificial intelligence (AI) on renewable energy, the supply chain vulnerability is referred to as the key to realizing the supply chain's safety, stability, reliability, and the continuous development of global environmental governance. Several databases have been selected here for the assessment: the UN Comtrade database, the global industrial robotics database, and the World Bank database covering the period of 2000 to 2019. This particular study examines the effect and mechanisms of AI on renewable energy supply chain vulnerability and explores the spatial spillover effects of AI in neighboring countries. The relevant findings are threefold. Firstly, the analysis of the mechanism of action demonstrates that AI can alleviate renewable energy supply chain vulnerability through technological innovation, governance system optimization, and trade network status promotion effects. Secondly, the heterogeneity analysis reveals that AI significantly alleviates renewable energy supply chain vulnerability in middle-income countries, highvulnerability products, countries with high popularity of digital infrastructure, and countries in the initial stage of renewable energy industrial development. Thirdly, the spatial econometric results show that AI can directly alleviate domestic renewable energy supply chain vulnerability and indirectly alleviate vulnerability in neighboring countries through spatial spillover effects. This study expands the methods for identifying the impact of external environmental changes on renewable energy supply chain vulnerability. It provides an empirical reference for policymakers and professionals to maintain the security, stability, and reliability of renewable energy supply chains in the AI era.",wos
ghotbi ;ho m;mantello p,attitude of college students towards ethical issues of artificial intelligence in an international university in japan,ai & society,2022,Artificial intelligence (AI); Emotional AI; Ethical issues; Humans and robots; Unemployment,"We have examined the attitude and moral perception of 228 college students (63 Japanese and 165 non-Japanese) towards artificial intelligence (AI) in an international university in Japan. The students were asked to select a single most significant ethical issue associated with AI in the future from a list of nine ethical issues suggested by the World Economic Forum, and to explain why they believed that their chosen issues were most important. The majority of students (n = 149, 65%) chose unemployment as the major ethical issue related to AI. The second largest group of students (n = 29, 13%) were concerned with ethical issues related to emotional AI, including the impact of AI on human behavior and emotion. The paper discusses the results in detail and concludes that, while policymakers must consider how to ameliorate the impact of AI on employment, AI engineers need to consider the emotional aspects of AI in research and development, as well.",wos
qin ;hu ;qi x;chang ty,do the benefits outweigh the disadvantages? exploring the role of artificial intelligence in renewable energy,energy economics,2024,Artificial intelligence; Renewable energy; Time-dependant interrelationship; China,"Probing the essential role of artificial intelligence in the energy market is crucial to improving the development of renewable energy. The research adopts the full and sub sample methodologies to identify the interrelation of artificial intelligence index (AII) and renewable energy indicator (REI) in China. From the quantitative discussions, it is shown that there are favourable and negative impacts from AII to REI, and the positive ones indicate that artificial intelligence plays an incentive role in developing renewable energy. However, this incentive role cannot permanently be established if AII's effect on REI is negative, which is mainly caused by non-renewable energy with less costs. In turn, there is a favourable influence from REI to AII during COVID-19, highlighting that the downturn in renewable energy and stock markets caused by this epidemic impedes the progress of artificial intelligence in China. In the context of a new round of scientific and technological revolution and industrial transformation, the research would offer meaningful recommendations to facilitate the development of artificial intelligence, accelerate the application and promotion of artificial intelligence technology in the field of renewable energy, and build efficient models, processors and data centres through shifting to renewable energy.",wos
li ;shi h;chen x;lan j;rehman a;ge m;shen l;hu f;jia y;li x;chen hl,application of artificial intelligence in medical education: a meta-ethnographic synthesis,medical teacher,2024,Artificial intelligence; medical education; meta-synthesis,"BackgroundWith the advancement of Artificial Intelligence (AI), it has had a profound impact on medical education. Understanding the advantages and issues of AI in medical education, providing guidance for educators, and overcoming challenges in the implementation process is particularly important.ObjectiveThe objective of this study is to explore the current state of AI applications in medical education.MethodsA systematic search was conducted across databases such as PsycINFO, CINAHL, Scopus, PubMed, and Web of Science to identify relevant studies. The Critical Appraisal Skills Programme (CASP) was employed for the quality assessment of these studies, followed by thematic synthesis to analyze the themes from the included research.ResultsUltimately, 21 studies were identified, establishing four themes: (1) Shaping the Future: Current Trends in AI within Medical Education; (2) Advancing Medical Instruction: The Transformative Power of AI; (3) Navigating the Ethical Landscape of AI in Medical Education; (4) Fostering Synergy: Integrating Artificial Intelligence in Medical Curriculum.ConclusionArtificial intelligence's role in medical education, while not yet extensive, is impactful and promising. Despite challenges, including ethical concerns over privacy, responsibility, and humanistic care, future efforts should focus on integrating AI through targeted courses to improve educational quality.",wos
ling y;jin ;li y;huang jy,learner satisfaction-based research on the application of artificial intelligence science popularization kits,frontiers in psychology,2022,maker education; learners' satisfaction; influencing factors; artificial intelligence; science kit,"The application of artificial intelligence science popularization kits in maker courses has promoted the rapid development of maker education. However, there exist few theoretical and empirical studies on the application of artificial intelligence science popularization kits in maker education. The theory of learner satisfaction can be used to explain learner motivation and outcomes with regard to participation in maker education using the artificial intelligence suite. Therefore, taking advantage of the opportunity the Zhejiang Action Plan for Promoting the Development of New Generation Artificial Intelligence (2019-2022) has provided, this study first conducted semi-structured interviews based on the results of a literature review and a questionnaire survey and then performed Pearson correlation analysis and regression analysis using SPSS 24.0 to explore the influencing factors of students' satisfaction with the use of artificial intelligence science popularization kits in education. The following results were obtained. (1) The correlation between grades and learners' satisfaction is not significant. (2) The use of a high-quality artificial intelligence science suite in the classroom will positively impact learners' satisfaction. (3) The degree of interaction with the artificial intelligence suite is negatively correlated with learners' satisfaction. (4) Teaching adaptability is significantly positively correlated with learner satisfaction. (5) Learners' individual characteristics have no significant positive correlation with learner satisfaction. Therefore, this study recommends focusing on suite quality, improving human-computer interaction, adopting a student-centered strategy, and aiming at improving the suitability of the curriculum.",wos
kong s;korte s;burton ;keskitalo ;turunen ;smith ;wang l;lee jc;beaton mc,artificial intelligence (ai) literacy - an argument for ai literacy in education,innovations in education and teaching international,2024,Artificial Intelligence (AI) literacy; capacity building; sustainable development; societal change; educational equity; education,"'Perhaps we should all stop for a moment and focus not only on making our AI better and more successful but also on the benefit of humanity'. - S. Hawkins, Web Summit, 2017 This international collaborative piece argues for a paradigm shift in our use and understanding of Artificial Intelligence (AI) in education, and in the development of Artificial Intelligence Literacy amongst our learners and professional colleagues. The main premises are: AI can change societal practices, and aid competency and capacity building within society, thereby having a positive impact on education. AI in education can support equity, inclusiveness and lifelong learning, through customisable and tailored learning experiences, while building up future professions and societies according to sustainable development premises. Education ought to equip learners with the knowledge, competency and mindset required to use AI to solve professional and societal challenges and improve day-to-day practices",wos
nguyen ;ngo ;hong ;dang ;nguyen bpt,ethical principles for artificial intelligence in education,education and information technologies,2023,Artificial Intelligence; AIED; Ethics; Policies; Privacy,"The advancement of artificial intelligence in education (AIED) has the potential to transform the educational landscape and influence the role of all involved stakeholders. In recent years, the applications of AIED have been gradually adopted to progress our understanding of students' learning and enhance learning performance and experience. However, the adoption of AIED has led to increasing ethical risks and concerns regarding several aspects such as personal data and learner autonomy. Despite the recent announcement of guidelines for ethical and trustworthy AIED, the debate revolves around the key principles underpinning ethical AIED. This paper aims to explore whether there is a global consensus on ethical AIED by mapping and analyzing international organizations' current policies and guidelines. In this paper, we first introduce the opportunities offered by AI in education and potential ethical issues. Then, thematic analysis was conducted to conceptualize and establish a set of ethical principles by examining and synthesizing relevant ethical policies and guidelines for AIED. We discuss each principle and associated implications for relevant educational stakeholders, including students, teachers, technology developers, policymakers, and institutional decision-makers. The proposed set of ethical principles is expected to serve as a framework to inform and guide educational stakeholders in the development and deployment of ethical and trustworthy AIED as well as catalyze future development of related impact studies in the field.",wos
uchikov ;khalid ;vankov ;kraeva ;kraev ;hristov ;sandeva ;dragusheva ;chakarov ;petrov ;dobreva-yatseva ;novakov i,the role of artificial intelligence in the diagnosis and treatment of ulcerative colitis,diagnostics,2024,artificial intelligence; ulcerative colitis; diagnosis; inflammatory bowel disease; artificial neural networks,"Background and objectives: This review aims to delve into the role of artificial intelligence in medicine. Ulcerative colitis (UC) is a chronic, inflammatory bowel disease (IBD) characterized by superficial mucosal inflammation, rectal bleeding, diarrhoea and abdominal pain. By identifying the challenges inherent in UC diagnosis, we seek to highlight the potential impact of artificial intelligence on enhancing both diagnosis and treatment methodologies for this condition. Method: A targeted, non-systematic review of literature relating to ulcerative colitis was undertaken. The PubMed and Scopus databases were searched to categorize a well-rounded understanding of the field of artificial intelligence and its developing role in the diagnosis and treatment of ulcerative colitis. Articles that were thought to be relevant were included. This paper only included articles published in English. Results: Artificial intelligence (AI) refers to computer algorithms capable of learning, problem solving and decision-making. Throughout our review, we highlighted the role and importance of artificial intelligence in modern medicine, emphasizing its role in diagnosis through AI-assisted endoscopies and histology analysis and its enhancements in the treatment of ulcerative colitis. Despite these advances, AI is still hindered due to its current lack of adaptability to real-world scenarios and its difficulty in widespread data availability, which hinders the growth of AI-led data analysis. Conclusions: When considering the potential of artificial intelligence, its ability to enhance patient care from a diagnostic and therapeutic perspective shows signs of promise. For the true utilization of artificial intelligence, some roadblocks must be addressed. The datasets available to AI may not truly reflect the real-world, which would prevent its impact in all clinical scenarios when dealing with a spectrum of patients with different backgrounds and presenting factors. Considering this, the shift in medical diagnostics and therapeutics is coinciding with evolving technology. With a continuous advancement in artificial intelligence programming and a perpetual surge in patient datasets, these networks can be further enhanced and supplemented with a greater cohort, enabling better outcomes and prediction models for the future of modern medicine.",wos
ciet ;eade ;ho m;laborie l;mahomed ;naidoo ;pace ;segal ;toso ;tschauner ;vamyanmane d;wagner m;shelmerdine sc,the unintended consequences of artificial intelligence in paediatric radiology,pediatric radiology,2024,Artificial intelligence; Child; Machine learning; Radiology,"Over the past decade, there has been a dramatic rise in the interest relating to the application of artificial intelligence (AI) in radiology. Originally only 'narrow' AI tasks were possible; however, with increasing availability of data, teamed with ease of access to powerful computer processing capabilities, we are becoming more able to generate complex and nuanced prediction models and elaborate solutions for healthcare. Nevertheless, these AI models are not without their failings, and sometimes the intended use for these solutions may not lead to predictable impacts for patients, society or those working within the healthcare profession. In this article, we provide an overview of the latest opinions regarding AI ethics, bias, limitations, challenges and considerations that we should all contemplate in this exciting and expanding field, with a special attention to how this applies to the unique aspects of a paediatric population. By embracing AI technology and fostering a multidisciplinary approach, it is hoped that we can harness the power AI brings whilst minimising harm and ensuring a beneficial impact on radiology practice.",wos
mohamed y;khanan ;bashir ;mohamed ahh;adiel ma;elsadig ma,the impact of artificial intelligence on language translation: a review,ieee access,2024,Artificial intelligence; Machine translation; Natural language processing; Fuzzy logic; Feature extraction; Deep learning; Training; language translation; machine translation,"In the context of a more linked and globalized society, the significance of proficient cross-cultural communication has been increasing to a position of utmost importance. Language functions as a crucial medium that establishes connections among people, corporations, and countries, demanding the implementation of precise and effective translation systems. This comprehensive review paper aims to contribute to the evolving landscape of AI-driven language translation by critically examining the existing literature, identifying key debates, and uncovering areas of innovation and limitations. The primary objective is to provide a nuanced understanding of the current state of AI-driven language translation, emphasizing the advancements, challenges, and ethical considerations. In this review, ongoing debates surrounding AI-driven language translations were actively involved. By evaluating different viewpoints and methodologies, insights into unresolved questions that contribute to a broader discourse in the field were provided. The future trajectory of this study involves the incorporation of cross-lingual dialect adaptability and the advancement of Artificial Intelligence translation systems, with a focus on prioritizing inclusion and cultural understanding.",wos
